;src\assets\anitruck.piskel;package-lock.json;src\assets\truck.piskel;src\analyzer\DB.server.ts;src\analyzer\ServerInstance.server.ts;src\analyzer\git-caller.server.ts;src\components\Chart.tsx;src\routes\$repo.$.tsx;src\analyzer\util.server.ts;src\components\DetailsCard.tsx;package.json;CONTRIBUTING.md;src\routes\_index.tsx;project-statement.md;src\tailwind.css;src\components\UnionAuthorsModal.tsx;GitTruckTeaser.md;src\components\TimeSlider.tsx;src\components\CommitHistory.tsx;src\metrics\metrics.ts;src\cli.ts;README.md;src\analyzer\model.ts;src\components\GlobalInfo.tsx;src\util.ts;src\components\Providers.tsx;src\components\util.tsx;src\contexts\OptionsContext.ts;src\styles\vars.css;truckconfig.json;scripts\benchmark.mjs;playwright.config.ts;src\components\AuthorOptions.tsx;src\components\Settings.tsx;remix.env.d.ts;src\root.tsx;INSTALL.md;src\analyzer\log.server.ts;postcss.config.js;src\components\SearchCard.tsx;src\components\Tooltip.tsx;TODO.md;src\analyzer\constants.ts;run-with-docker.sh;src\metrics\sizeMetric.ts;src\const.ts;tailwind.config.js;src\components\Options.tsx;tsconfig.json;src\styles\animations.css;src\analyzer\RefreshPolicy.ts;src\components\CommitSettings.tsx;demo.tape;prettier.config.mjs;scripts\publish-experimental.js;src\components\legend\SegmentLegend.tsx;src\analyzer\coauthors.server.test.ts;REQUIREMENTS.md;src\components\legend\PointLegend.tsx;remix.config.mjs;src\analyzer\MetadataDB.ts;src\components\MenuTab.tsx;src\components\BarChart.tsx;src\metrics\chartDepth.ts;src\metrics\metricUtils.ts;src\components\HiddenFiles.tsx;src\components\LoadingIndicator.tsx;src\metrics\lastChanged.ts;src\components\accordion\AccordionItem.tsx;src\components\Breadcrumb.tsx;src\entry.client.tsx;src\components\sliderUtils.tsx;src\components\legend\GradiantLegend.tsx;src\components\accordion\Accordion.tsx;src\components\FeedbackCard.tsx;src\routes\clearCache.tsx;src\analyzer\InstanceManager.server.ts;src\entry.server.tsx;src\routes\$repository.tsx;src\components\legend\Legend.tsx;src\routes\progress.tsx;e2e\features\clear-analyzed-results.spec.ts;e2e\features\navigate-to-a-repository.spec.ts;src\components\RevisionSelect.tsx;src\styling.tsx;src\analyzer\coauthors.server.ts;e2e\features\see-more-repositories.spec.ts;src\components\AuthorDistFragment.tsx;src\components\CommitsCard.tsx;src\hooks.ts;src\contexts\CommitTabContext.ts;src\components\EnumSelect.tsx;src\contexts\MetricContext.ts;src\routes\commits.tsx;src\components\ChevronButton.tsx;src\metrics\truckFactor.ts;src\analyzer\args.server.ts;src\contexts\PathContext.ts;src\contexts\DataContext.ts;src\metrics\singleAuthor.ts;src\contexts\ClickedContext.ts;src\metrics\topContributer.ts;src\contexts\SearchContext.ts;src\routes\commitcount.tsx;src\metrics\mostContribs.ts;src\routes\authordist.tsx;src\metrics\mostCommits.ts;src\metrics\fileExtension.ts
src\assets\anitruck.piskel;0,0036101083032490976;0,9999741086917122;0,8180505415162455;1,0189742626338532;1,0237676056338028;1,0242408777749425;1,025165319617928;1,0266457680250785;1,0307881773399015;1,0546092184368738;1,02734375;1,049645390070922;1,0255767301905716;1,0534296028880867;1,0381966186599876;1,0288;1,0606498194945848;1,0323493732308937;1,0279932546374368;1,0273455917020273;1,0343087790110999;1,0418772563176895;1,0216606498194947;1,032;1,0310322989233691;1,03125;1,0431077694235589;1,031768953068592;0,9971119133574007;1,0007220216606498;1,0404332129963898;1,0389891696750904;1,0364077669902914;1,0389261744966443;1,0050541516245488;1,0375451263537907;1,0332129963898917;1,023826714801444;0,9978339350180505;1,044529262086514;1,0369921164342026;1,0245487364620938;1;1,0245487364620938;0,9963898916967509;0,9855595667870036;1,0064981949458485;1,0194945848375452;1,0036101083032491;0,9855595667870036;1,011552346570397;1,0310469314079422;1,007942238267148;0,9985559566787003;1,0245487364620938;1,0267148014440433;1,0209386281588448;0,9992779783393502;1,036101083032491;0,9992779783393502;1,0303249097472924;1,0267148014440433;1,0252707581227436;0,9877256317689531;1,0368231046931409;1,0353790613718412;1,0433212996389891;1,0122743682310469;1,0339350180505416;1,0418772563176895;1,0050541516245488;1,0122743682310469;1,032490974729242;1,0353790613718412;1,0353790613718412;0,9971119133574007;1,0072202166064983;1,0180505415162455;1,0223826714801445;1,0382671480144405;1,03971119133574;1,0086642599277977;1,0086642599277977;1,0454873646209386;1,020216606498195;1,004332129963899;0,9956678700361011;1,0339350180505416;1,0021660649819495;1,0194945848375452;1,0144404332129964;1,0303249097472924;1,0014440433212997;1,0173285198555957;1,0151624548736462;1,020216606498195;1,0036101083032491;1,0072202166064983;1,011552346570397;1,0194945848375452;1,007942238267148;1,0194945848375452;1,0072202166064983;1,0028880866425993;1,0122743682310469;1,004332129963899;1,0122743682310469;1,0093862815884476
package-lock.json;0,9999741086917122;0,0006386522710992587;0,9997756086615057;1,0035730005437176;1,0041943919426248;1,0033054570247435;1,0041943919426248;1,0033917613857029;1,0039786310402266;1,0033399787691273;0,9977043039984811;1,002684065625836;1,0039613701680346;1,0020713046630245;1,0014585437002133;1,0027962612950831;1,0027185873702198;1,0026495438814522;1,0025287177761093;1,002701326498028;1,0017174567830913;1,0009061957900733;1,0006904348876748;1,002554609084397;1,0022007612044637;1,0018986959411058;1,002942978708714;1,001354978467062;1,0003797391882212;0,9997842390976016;1,0007422175042504;1,0000258913082878;1,0019850003020652;1,0014585437002133;0,9998273912780813;1,0011564784368554;1,0006127609628115;1,0007594783764424;0,9995684781952032;1,002433782979054;1,0023561090541906;1,0002761739550698;1,0001898695941105;1,0002157609023985;0,999870543458561;0,9999050652029448;1,0004833044213723;1,0002330217745903;0,9998791738946569;0,9999913695639041;1,0004833044213723;1,001078804511992;1,000138086977535;0,9996893043005463;0,9998187608419854;1,0010874349480878;1,0001639782858227;1,0003193261355496;1,0013118262865823;0,9998187608419854;1,0007335870681546;1,000966608842745;1,001225521925623;0,9998360217141772;1,0006386522710993;1,0009838697149367;1,0011478480007594;1,0001726087219187;1,0007940001208262;1,0007163261959626;1,0002761739550698;1,0000431521804798;1,0008716740456896;1,0007335870681546;0,9996375216839707;0,9998619130224651;1,0003279565716456;0,9999654782556162;1,0002157609023985;1,0005264566018521;1,0005696087823317;1,0002848043911658;1,0000776739248634;1,0007163261959626;1,0004574131130846;0,9999309565112325;0,9999309565112325;1,0005350870379481;1,0002330217745903;1,000258913082878;1,0000776739248634;1,0003106956994536;1,0000345217443838;1,0002416522106863;0,999870543458561;1,0002848043911658;1,0002848043911658;1;1,0001726087219187;1,000405630496509;1,0002071304663025;1,000250282646782;0,9999050652029448;0,9998446521502732;1,0004315218047968;1,0000431521804798;1,0000431521804798;0,9999395869473284
src\assets\truck.piskel;0,8180505415162455;0,9997756086615057;0,006015037593984963;1,0037572797294758;1,0070422535211268;1,0048481755549885;1,005878030859662;1,006269592476489;1,0058497536945812;1,0037575150300602;1,0033482142857142;1,0112293144208038;1,004764292878636;1,0176565008025682;1,008140262993112;1,00416;1,0240782543265614;1,004852405984634;1,0050590219224282;1,0004714757190005;0,9989909182643795;1,011156186612576;0,9922600619195047;1,0042105263157894;0,9987333755541482;1,0030048076923077;1,0075187969924813;0,9984544049459042;0,9669172932330827;0,9578947368421052;1,0101317122593718;1,0047058823529411;0,9987864077669902;1,0006711409395974;0,9639097744360903;1,0018467220683287;0,9954887218045113;0,9958071278825996;0,9609022556390977;1,008905852417303;1,0024257125530625;1;0,9759398496240601;0,9699248120300752;0,9473684210526315;0,9518796992481203;0,968421052631579;0,988394584139265;0,9578947368421052;0,9488721804511279;0,9896602658788775;0,997196261682243;0,968421052631579;0,9669172932330827;0,9969924812030075;1;0,9926362297496318;0,9729323308270676;1,001765225066196;0,9744360902255639;1,0037735849056604;0,996309963099631;0,993455497382199;0,9488721804511279;1;0,996547756041427;1,0074906367041199;0,9819548872180451;0,9895678092399404;0,9959731543624161;0,9774436090225563;0,9744360902255639;1,005449591280654;0,9924812030075187;0,9954887218045113;0,9699248120300752;0,9849624060150376;0,9789473684210527;1;0,9702300405953992;0,9954887218045113;0,9819548872180451;0,9819548872180451;0,9940915805022157;0,9819548872180451;0,9714285714285714;0,9548872180451128;0,9864661654135338;0,968421052631579;0,968421052631579;0,9924812030075187;0,9924812030075187;0,9714285714285714;0,9789473684210527;0,9669172932330827;0,9804511278195489;0,9714285714285714;0,9744360902255639;0,9819548872180451;0,9759398496240601;0,9744360902255639;0,9774436090225563;0,9744360902255639;0,9654135338345865;0,9699248120300752;0,9774436090225563;0,9714285714285714;0,9669172932330827
src\analyzer\DB.server.ts;1,0189742626338532;1,0035730005437176;1,0037572797294758;0,0020665038512117226;0,926545181288747;0,9447679879767049;0,9621601763409258;0,9473980837873379;0,9614878827728724;0,9776441856096186;0,9977456321623145;0,9938004884463648;0,9708810820965621;0,9947398083787338;0,9949276723652076;0,9723839939883524;0,9977456321623145;0,9768927296637234;0,9661844824347172;0,96731166635356;0,9750140897989855;1,0003757279729475;0,9690024422318242;0,9795228254743565;0,9791470975014089;0,9753898177719331;0,9832801052038325;0,9746383618260379;0,9951155363516814;0,9930490325004696;0,9789592335149352;0,9868495209468345;0,9812136013526207;0,981025737366147;0,9941762164193124;0,9868495209468345;0,9938004884463648;0,982716513244411;0,9941762164193124;0,9787713695284614;0,9748262258125118;0,98910388878452;0,990982528649258;0,9936126244598911;0,9919218485816269;0,9922975765545745;0,995491264324629;0,9823407852714635;0,9932368964869435;0,9921097125681007;0,9765170016907759;0,9742626338530903;0,9919218485816269;0,9921097125681007;0,9840315611497276;0,981025737366147;0,9804621454067255;0,9936126244598911;0,9780199135825662;0,9889160247980462;0,9605485628405035;0,98365583317678;0,9844072891226752;0,9904189366898366;0,9823407852714635;0,9842194251362014;0,9847830170956228;0,985534473041518;0,9894796167574675;0,9857223370279917;0,9862859289874131;0,9834679691903062;0,9851587450685704;0,9842194251362014;0,9868495209468345;0,9860980650009393;0,9703174901371407;0,9814014653390944;0,9851587450685704;0,9812136013526207;0,9785835055419876;0,9874131129062559;0,9860980650009393;0,9797106894608304;0,9830922412173586;0,98365583317678;0,9862859289874131;0,981025737366147;0,985534473041518;0,9819650572985159;0,9819650572985159;0,9829043772308849;0,9849708810820965;0,9765170016907759;0,9866616569603607;0,9748262258125118;0,9830922412173586;0,985534473041518;0,9842194251362014;0,9748262258125118;0,985534473041518;0,9757655457448807;0,9829043772308849;0,9829043772308849;0,9759534097313545;0,9821529212849897;0,9763291377043021;0,981025737366147
src\analyzer\ServerInstance.server.ts;1,0237676056338028;1,0041943919426248;1,0070422535211268;0,926545181288747;0,003301056338028169;0,9330985915492958;0,9458119030124909;0,9398510971786834;0,9537852112676056;0,952024647887324;0,9936179577464789;0,9852552816901409;0,9610475352112676;0,9900968309859155;0,9918573943661971;0,9625880281690141;0,9920774647887324;0,9782130281690141;0,9619278169014085;0,957306338028169;0,9658890845070423;0,996919014084507;0,9575264084507042;0,9700704225352113;0,9705105633802817;0,9711707746478874;0,9786531690140845;0,972931338028169;0,9936179577464789;0,9938380281690141;0,9777728873239436;0,9848151408450704;0,9815140845070423;0,9742517605633803;0,9929577464788732;0,9806338028169014;0,9876760563380281;0,9762323943661971;0,9925176056338029;0,9680897887323944;0,9669894366197183;0,987455985915493;0,9883362676056338;0,9922975352112676;0,9914172535211268;0,991637323943662;0,9938380281690141;0,981294014084507;0,9925176056338029;0,9907570422535211;0,9713908450704225;0,9731514084507042;0,9903169014084507;0,9898767605633803;0,9826144366197183;0,9742517605633803;0,972931338028169;0,9894366197183099;0,9705105633802817;0,9883362676056338;0,9625880281690141;0,9810739436619719;0,9788732394366197;0,9896566901408451;0,9782130281690141;0,980193661971831;0,9727112676056338;0,984375;0,987455985915493;0,9777728873239436;0,9870158450704225;0,980193661971831;0,9826144366197183;0,980193661971831;0,9861355633802817;0,9823943661971831;0,9665492957746479;0,9775528169014085;0,9799735915492958;0,976012323943662;0,9663292253521126;0,9856954225352113;0,9826144366197183;0,9784330985915493;0,9790933098591549;0,9779929577464789;0,983274647887324;0,9799735915492958;0,9845950704225352;0,9817341549295775;0,9775528169014085;0,983274647887324;0,9839348591549296;0,9691901408450704;0,9861355633802817;0,9709507042253521;0,9755721830985915;0,9837147887323944;0,9782130281690141;0,9727112676056338;0,9826144366197183;0,976012323943662;0,9808538732394366;0,976012323943662;0,9720510563380281;0,9766725352112676;0,971830985915493;0,9779929577464789
src\analyzer\git-caller.server.ts;1,0242408777749425;1,0033054570247435;1,0048481755549885;0,9447679879767049;0,9330985915492958;0,014544526664965552;0,9691403379867745;0,9533699059561128;0,9410563919367185;0,968937875751503;0,9954069915794845;0,9900484817555499;0,9247743229689067;0,9992344985965808;1,0010206685378924;0,9645317683082419;0,9859658076039806;0,9813727991834652;0,9645317683082419;0,9704006124011227;0,9492217402398571;0,9857106404695075;0,9538147486603725;0,9635110997703495;0,9760142893595305;0,9729522837458535;0,9813727991834652;0,9783107935697882;0,9931104873692268;0,9910691502934422;0,9739729522837458;0,9826486348558305;0,9834141362592498;0,980862464914519;0,9923449859658076;0,974738453687165;0,9880071446797652;0,9668282725184996;0,9913243174279153;0,9737177851492728;0,9729522837458535;0,987241643276346;0,984179637662669;0,990558816024496;0,987241643276346;0,9895381474866037;0,990303648890023;0,9846899719316152;0,9864761418729268;0,9892829803521307;0,9772901250318959;0,9737177851492728;0,9900484817555499;0,9880071446797652;0,9739729522837458;0,980607297780046;0,9691247767287573;0,9864761418729268;0,958407757080888;0,9834141362592498;0,9461597346261802;0,9693799438632305;0,9739729522837458;0,9867313090073998;0,9701454452666497;0,9760142893595305;0,9698902781321765;0,9829038019903037;0,9770349578974228;0,9734626180147997;0,983924470528196;0,9757591222250575;0,9785659607042613;0,9696351109977035;0,981117632048992;0,9821383005868844;0,9630007655014035;0,974228119418219;0,9675937739219188;0,9704006124011227;0,965042102577188;0,9772901250318959;0,9762694564940035;0,9640214340392957;0,9783107935697882;0,9688696095942843;0,9803521306455728;0,974228119418219;0,9788211278387343;0,9724419494769073;0,9762694564940035;0,9739729522837458;0,9829038019903037;0,968104108190865;0,9816279663179382;0,9675937739219188;0,9663179382495535;0,9800969635110998;0,9757591222250575;0,9688696095942843;0,9790762949732075;0,9726971166113805;0,9795866292421536;0,974483286552692;0,9686144424598112;0,9752487879561113;0,9675937739219188;0,971421280939015
src\components\Chart.tsx;1,025165319617928;1,0041943919426248;1,005878030859662;0,9621601763409258;0,9458119030124909;0,9691403379867745;0,0018368846436443791;0,9342395297575312;0,9641807494489346;0,9037472446730346;0,9959588537839824;0,9904481998530492;0,9564658339456282;0,992836149889787;0,9797942689199118;0,945444526083762;0,995775165319618;0,9583027185892726;0,9399338721528288;0,9487509184423218;0,9757531227038942;0,9965099191770757;0,9752020573108009;0,9465466568699485;0,9627112417340191;0,9395664952241;0,9527920646583394;0,9612417340191036;0,9932035268185158;0,9939382806759736;0,9779573842762674;0,9880602498163116;0,9583027185892726;0,9533431300514328;0,9937545922116091;0,970242468772961;0,9915503306392358;0,9823659074210139;0,994121969140338;0,9391991182953711;0,9322189566495224;0,9887950036737693;0,9917340191036003;0,9919177075679647;0,9854886113152094;0,9803453343130052;0,9862233651726672;0,9621601763409258;0,9919177075679647;0,9897134459955915;0,9763041880969875;0,9713445995591476;0,9900808229243203;0,9926524614254225;0,9831006612784717;0,9678545187362234;0,9818148420279207;0,9904481998530492;0,9614254224834681;0,9898971344599559;0,9742836149889786;0,9652828802351212;0,9588537839823659;0,9886113152094048;0,980712711241734;0,9650991917707568;0,9627112417340191;0,9827332843497428;0,9711609110947832;0,9636296840558413;0,9847538574577517;0,9724467303453344;0,9638133725202057;0,9729977957384276;0,9794268919911829;0,9875091844232182;0,9829169728141073;0,9810800881704629;0,983651726671565;0,9566495224099927;0,9768552534900808;0,9875091844232182;0,9854886113152094;0,9673034533431301;0,9733651726671565;0,9838354151359294;0,9865907421013961;0,9669360764144012;0,9788758265980897;0,9742836149889786;0,9794268919911829;0,9707935341660544;0,9819985304922851;0,9810800881704629;0,979059515062454;0,974834680382072;0,983651726671565;0,9810800881704629;0,9794268919911829;0,971895664952241;0,9792432035268185;0,9720793534166055;0,9774063188831741;0,9838354151359294;0,976120499632623;0,9838354151359294;0,9755694342395298;0,9744673034533431
src\routes\$repo.$.tsx;1,0266457680250785;1,0033917613857029;1,006269592476489;0,9473980837873379;0,9398510971786834;0,9533699059561128;0,9342395297575312;0,001959247648902821;0,9625783699059561;0,9241771159874608;0,9911833855799373;0,9907915360501567;0,9112460815047022;0,9943181818181818;0,9747257053291536;0,9294670846394985;0,9949059561128527;0,9572884012539185;0,9441614420062696;0,959051724137931;0,9688479623824452;0,9960815047021944;0,9633620689655172;0,9296630094043887;0,9733542319749217;0,9572884012539185;0,9533699059561128;0,9704153605015674;0,995101880877743;0,9907915360501567;0,9802115987460815;0,9886363636363636;0,9688479623824452;0,9596394984326019;0,9931426332288401;0,9621865203761756;0,9913793103448276;0,9807993730407524;0,9937304075235109;0,9476880877742947;0,9457288401253918;0,9878526645768025;0,9935344827586207;0,9925548589341693;0,9911833855799373;0,9913793103448276;0,9947100313479624;0,9751175548589341;0,992358934169279;0,9921630094043887;0,9649294670846394;0,969435736677116;0,9905956112852664;0,9909874608150471;0,9841300940438872;0,9725705329153606;0,97923197492163;0,9915752351097179;0,9625783699059561;0,9902037617554859;0,9645376175548589;0,9674764890282131;0,9704153605015674;0,9888322884012539;0,9786442006269592;0,9594435736677116;0,9663009404388715;0,9841300940438872;0,9760971786833855;0,9684561128526645;0,9813871473354232;0,9768808777429467;0,9700235109717869;0,9739420062695925;0,9751175548589341;0,9790360501567398;0,975705329153605;0,974333855799373;0,9682601880877743;0,9653213166144201;0,9641457680250783;0,9829545454545454;0,9817789968652038;0,9629702194357367;0,9729623824451411;0,9831504702194357;0,9841300940438872;0,9706112852664577;0,9804075235109718;0,9755094043887147;0,9780564263322884;0,9663009404388715;0,9835423197492164;0,9696316614420063;0,9755094043887147;0,9794278996865203;0,9772727272727273;0,9745297805642633;0,9807993730407524;0,9717868338557993;0,9719827586206896;0,9655172413793104;0,9719827586206896;0,9710031347962382;0,9759012539184952;0,9684561128526645;0,9759012539184952;0,9749216300940439
src\analyzer\util.server.ts;1,0307881773399015;1,0039786310402266;1,0058497536945812;0,9614878827728724;0,9537852112676056;0,9410563919367185;0,9641807494489346;0,9625783699059561;0,013854679802955665;0,9589178356713427;0,9725985221674877;0,9766009852216748;0,9621364092276831;0,9821428571428571;0,9778325123152709;0,9633620689655172;0,9719827586206896;0,978448275862069;0,9627463054187192;0,9621305418719212;0,9227216748768473;0,978756157635468;0,9556650246305419;0,9464285714285714;0,9405788177339901;0,9565886699507389;0,9556650246305419;0,9692118226600985;0,9895320197044335;0,9855295566502463;0,9467364532019704;0,9759852216748769;0,9602832512315271;0,9642857142857143;0,9904556650246306;0,9615147783251231;0,9827586206896551;0,9430418719211823;0,9889162561576355;0,9547413793103449;0,9439655172413793;0,9873768472906403;0,9846059113300493;0,9867610837438424;0,9861453201970444;0,9873768472906403;0,9849137931034483;0,9722906403940886;0,9858374384236454;0,9855295566502463;0,9716748768472906;0,9572044334975369;0,9839901477832512;0,9842980295566502;0,9649014778325123;0,9599753694581281;0,9713669950738916;0,9858374384236454;0,9608990147783252;0,9799876847290641;0,9415024630541872;0,9676724137931034;0,9719827586206896;0,9830665024630542;0,9698275862068966;0,9667487684729064;0,9572044334975369;0,9729064039408867;0,9710591133004927;0,9612068965517241;0,9799876847290641;0,9692118226600985;0,9707512315270936;0,9682881773399015;0,9802955665024631;0,978756157635468;0,9652093596059114;0,9599753694581281;0,9716748768472906;0,9602832512315271;0,9599753694581281;0,978756157635468;0,9766009852216748;0,9633620689655172;0,9698275862068966;0,9661330049261084;0,9781403940886699;0,9673645320197044;0,9778325123152709;0,9682881773399015;0,9719827586206896;0,9698275862068966;0,9769088669950738;0,9624384236453202;0,9762931034482759;0,9710591133004927;0,9602832512315271;0,9762931034482759;0,9725985221674877;0,958435960591133;0,9756773399014779;0,9649014778325123;0,9756773399014779;0,9729064039408867;0,9704433497536946;0,9710591133004927;0,9704433497536946;0,9639778325123153
src\components\DetailsCard.tsx;1,0546092184368738;1,0033399787691273;1,0037575150300602;0,9776441856096186;0,952024647887324;0,968937875751503;0,9037472446730346;0,9241771159874608;0,9589178356713427;0,013026052104208416;0,996993987975952;0,9982464929859719;0,9170841683366734;0,9982464929859719;0,9794589178356713;0,906563126252505;1,002755511022044;0,9461422845691383;0,8582164328657315;0,9546593186372746;0,9812124248496994;1,0035070140280562;0,9709418837675351;0,8960420841683366;0,9629258517034068;0,9544088176352705;0,9316132264529058;0,9739478957915831;0,9914829659318637;0,9904809619238477;0,9809619238476954;0,9919839679358717;0,9190881763527055;0,9431362725450901;0,9897294589178357;0,9736973947895792;0,9874749498997996;0,9839679358717435;0,9909819639278558;0,907565130260521;0,9153306613226453;0,9822144288577155;0,9852204408817635;0,9902304609218436;0,9862224448897795;0,9877254509018036;0,9872244488977956;0,9679358717434869;0,9882264529058116;0,9872244488977956;0,9784569138276553;0,9539078156312625;0,9879759519038076;0,9887274549098196;0,9862224448897795;0,9664328657314629;0,9817134268537074;0,9882264529058116;0,9481462925851704;0,9849699398797596;0,9804609218436874;0,9606713426853707;0,9629258517034068;0,9852204408817635;0,9797094188376754;0,9203406813627254;0,9511523046092184;0,9726953907815631;0,9679358717434869;0,9433867735470942;0,9784569138276553;0,9767034068136272;0,9631763527054108;0,9746993987975952;0,967685370741483;0,9822144288577155;0,9872244488977956;0,9802104208416834;0,9769539078156313;0,9476452905811623;0,9729458917835672;0,9814629258517034;0,9794589178356713;0,969188376753507;0,9714428857715431;0,9744488977955912;0,9832164328657315;0,9408817635270541;0,9581663326653307;0,967434869739479;0,9726953907815631;0,9529058116232465;0,9787074148296593;0,9794589178356713;0,9634268537074149;0,966933867735471;0,9746993987975952;0,9769539078156313;0,9764529058116233;0,9694388777555111;0,9729458917835672;0,9731963927855711;0,9744488977955912;0,9741983967935872;0,968687374749499;0,9734468937875751;0,968687374749499;0,9654308617234469
